month,nums_category_img,count,total,proportion
10,0,101,2513,0.04019100676482292
10,1,158,2513,0.06287306008754477
10,2,100,2513,0.03979307600477517
10,3,108,2513,0.04297652208515718
10,4,92,2513,0.03660962992439316
10,5,68,2513,0.027059291683247114
10,6,76,2513,0.030242737763629127
10,7,72,2513,0.02865101472343812
10,8,155,2513,0.06167926780740151
10,9,281,2513,0.11181854357341822
10,10,154,2513,0.06128133704735376
10,11,78,2513,0.03103859928372463
10,12,122,2513,0.048547552725825706
10,13,62,2513,0.024671707122960605
10,14,136,2513,0.05411858336649423
10,15,44,2513,0.017508953442101075
10,16,42,2513,0.016713091922005572
10,17,297,2513,0.11818543573418225
10,18,142,2513,0.05650616792678074
10,19,131,2513,0.05212892956625547
10,21,1,2513,0.0003979307600477517
10,24,2,2513,0.0007958615200955034
10,25,2,2513,0.0007958615200955034
10,30,2,2513,0.0007958615200955034
10,31,1,2513,0.0003979307600477517
10,32,5,2513,0.0019896538002387586
10,35,2,2513,0.0007958615200955034
10,36,1,2513,0.0003979307600477517
10,40,7,2513,0.002785515320334262
10,41,2,2513,0.0007958615200955034
10,44,3,2513,0.001193792280143255
10,48,1,2513,0.0003979307600477517
10,49,2,2513,0.0007958615200955034
10,50,7,2513,0.002785515320334262
10,51,2,2513,0.0007958615200955034
10,53,2,2513,0.0007958615200955034
10,55,7,2513,0.002785515320334262
10,56,3,2513,0.001193792280143255
10,58,1,2513,0.0003979307600477517
10,59,1,2513,0.0003979307600477517
10,63,8,2513,0.0031834460803820135
10,69,3,2513,0.001193792280143255
10,70,2,2513,0.0007958615200955034
10,73,1,2513,0.0003979307600477517
10,74,1,2513,0.0003979307600477517
10,78,4,2513,0.0015917230401910067
10,79,2,2513,0.0007958615200955034
10,81,4,2513,0.0015917230401910067
10,83,3,2513,0.001193792280143255
10,85,1,2513,0.0003979307600477517
10,88,2,2513,0.0007958615200955034
10,89,1,2513,0.0003979307600477517
10,90,3,2513,0.001193792280143255
10,91,1,2513,0.0003979307600477517
10,93,1,2513,0.0003979307600477517
10,98,1,2513,0.0003979307600477517
10,99,2,2513,0.0007958615200955034
11,0,97,3023,0.032087330466424084
11,1,282,3023,0.09328481640754217
11,2,105,3023,0.03473370823685081
11,3,116,3023,0.03837247767118756
11,4,112,3023,0.037049288785974195
11,5,109,3023,0.036056897122064176
11,6,81,3023,0.026794574925570625
11,7,76,3023,0.02514058881905392
11,8,156,3023,0.051604366523321205
11,9,297,3023,0.0982467747270923
11,10,153,3023,0.05061197485941118
11,11,91,3023,0.030102547138604035
11,12,188,3023,0.062189877605028115
11,13,63,3023,0.020840224942110488
11,14,170,3023,0.05623552762156798
11,15,42,3023,0.013893483294740324
11,16,101,3023,0.03341051935163745
